rule_id,rule_name,target_table,rule_type,target_columns,pattern,min_value,max_value,code_group,dimension,threshold_rate,error_grade,cleansing_steps,datetime_kind,change_reason
DQ-VAL-WEB-003,홈페이지 연락처 패턴 검사,maps_databricks.bronze.homepage,PATTERN_CHECK,CONTACT_TEL,"^01[0-9][0-9]{7,8}$",,,,유효성,0.005,MEDIUM,"CLN-COM-001,CLN-VAL-001",,초기 적재 (dq_config.DQ_RULES)
DQ-COM-WEB-002,홈페이지 민원 제목 필수 입력 검사,maps_databricks.bronze.homepage,NULL_CHECK,COMPLAINT_TITLE,,,,,결손성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-WEB-003,홈페이지 민원 본문 필수 입력 검사,maps_databricks.bronze.homepage,NULL_CHECK,COMPLAINT_CONTENT,,,,,결손성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-CHAT-001,Chatbot 대화 세션 ID 누락 검사,maps_databricks.bronze.chatbot,NULL_CHECK,session_id,,,,,결손성,0.0,CRITICAL,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-CHAT-001,Chatbot 의도 카테고리 검증,maps_databricks.bronze.chatbot,CODE_EXISTS,intent_category_guess,,,,CHATBOT_INTENT,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-003",,초기 적재 (dq_config.DQ_RULES)
DQ-CON-CHAT-001,Chatbot 질의/응답 시각 순서 검사,maps_databricks.bronze.chatbot,ORDER_CHECK,"started_at,ended_at",,,,,일관성,0.0,HIGH,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-CHAT-002,Chatbot 응답 소요시간(초) 범위 검사,maps_databricks.bronze.chatbot,RANGE_CHECK,duration_seconds,,0.0,3600.0,,유효성,0.01,LOW,,,초기 적재 (dq_config.DQ_RULES)
DQ-COM-CHAT-002,Chatbot 사용자 쿼리 필수 누락 검사,maps_databricks.bronze.chatbot,NULL_CHECK,user_query,,,,,결손성,0.005,MEDIUM,,,초기 적재 (dq_config.DQ_RULES)
DQ-VAL-IN-005,Inbound 상담 시작일시 형식,maps_databricks.bronze.inbound,PATTERN_CHECK,started_at,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-IN-006,Inbound 상담 종료일시 형식,maps_databricks.bronze.inbound,PATTERN_CHECK,ended_at,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-OUT-004,Outbound 통화 시작일시 형식,maps_databricks.bronze.outbound,PATTERN_CHECK,CALL_ST_DTM,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-OUT-005,Outbound 통화 연결일시 형식,maps_databricks.bronze.outbound,PATTERN_CHECK,CALL_CONN_DTM,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-OUT-006,Outbound 통화 종료일시 형식,maps_databricks.bronze.outbound,PATTERN_CHECK,CALL_END_DTM,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-SF-004,Salesforce 생성일시 형식,maps_databricks.bronze.salesforce,PATTERN_CHECK,CreatedDate,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-SF-005,Salesforce 최종수정일시 형식,maps_databricks.bronze.salesforce,PATTERN_CHECK,LastModifiedDate,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-CHAT-004,Chatbot 세션 시작일시 형식,maps_databricks.bronze.chatbot,PATTERN_CHECK,started_at,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
DQ-VAL-CHAT-005,Chatbot 세션 종료일시 형식,maps_databricks.bronze.chatbot,PATTERN_CHECK,ended_at,^\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}$,,,,유효성,0.01,MEDIUM,"CLN-COM-001,CLN-VAL-002",TIMESTAMP,형식 검사 규칙이 전 소스에 없어 아웃바운드 초 없는 시각(예: 18:20)이 매핑 단계에서 전량 변환실패. DQ 자동정제 원칙(정제 가능한 건 DQ에서 처리)에 따라 형식 검사+CLN-VAL-002 정제를 시각 컬럼 전체에 추가.
